win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,34,21,60,50808,69117,8,545,0.0,3.0,8.0,1.0,1.0,0.0,109,2138,36058,2464.9,1496.3000000000002,34.0,13070,155.20000000000027,20834,14,3.2408963585434174,18
1,24,17,46,57902,76594,8,685,1.0,4.0,8.0,1.0,1.0,1.0,168,4067,66096,1935.3000000000002,1420.8000000000002,-25.0,11526,245.60000000000036,22916,7,2.200980392156862,9
1,31,15,51,65601,73159,10,716,1.0,4.0,11.0,3.0,1.0,1.0,199,3986,92761,2062.2000000000003,1351.3,123.0,10603,48.399999999999864,-4311,16,4.305376344086022,24
1,25,17,42,50492,76345,2,623,1.0,3.0,2.0,0.0,0.0,1.0,139,3599,41004,1977.5,1333.9,141.4000000000001,3903,-59.799999999999955,13699,8,1.9011764705882355,-17
1,34,24,53,63727,115308,9,699,0.0,4.0,9.0,2.0,1.0,0.0,195,4892,42191,2120.2,1498.4,-23.0,4841,269.4000000000001,15794,10,1.3897058823529411,34
1,25,20,32,54073,73499,6,662,1.0,1.0,6.0,1.0,1.0,1.0,174,3297,36532,2278.9,1265.8000000000002,3.399999999999636,8363,-111.79999999999995,17944,5,0.6499999999999999,42
1,44,26,56,52802,84851,8,476,0.0,3.0,8.0,2.0,1.0,0.0,105,2177,32465,2867.6,1772.3,-201.60000000000036,9069,150.70000000000005,14491,18,2.2325174825174825,39
1,32,18,39,60690,93436,9,639,1.0,4.0,10.0,2.0,1.0,1.0,169,4922,45742,1859.6,1390.3,-13.599999999999909,6601,87.5,33871,14,2.5808080808080813,26
1,25,17,61,65640,105032,6,736,2.0,3.0,7.0,1.0,0.0,1.0,226,4638,57301,1531.6999999999998,1328.8000000000002,162.4000000000001,4336,35.50000000000023,13568,8,2.9788235294117644,18
1,26,12,41,43614,53763,9,501,0.0,1.0,9.0,2.0,1.0,0.0,79,3244,30167,0.0,0.0,-35.19999999999982,12611,-1154.7999999999997,15021,14,4.66025641025641,3
1,20,10,29,47901,53785,10,535,1.0,2.0,11.0,2.0,1.0,1.0,128,3890,38468,2326.8,1218.5,-18.59999999999991,11181,57.100000000000136,12903,10,3.4000000000000004,39
1,32,32,64,58986,88979,7,527,1.0,3.0,7.0,1.0,0.0,1.0,160,2115,40951,1940.3000000000002,1218.0000000000002,116.79999999999973,1382,-656.1999999999998,7225,0,0.5,2
1,42,34,77,71511,127256,8,711,1.0,4.0,8.0,1.0,1.0,0.0,230,2200,70455,1897.1,1840.5,-77.79999999999973,6356,338.70000000000005,28467,8,1.380952380952381,28
1,38,13,51,50219,74611,9,503,0.0,3.0,10.0,2.0,1.0,0.0,99,3487,33733,2584.7999999999997,1873.8,76.0,16545,609.5,20493,25,5.951417004048583,36
1,23,15,48,43482,58567,7,454,0.0,3.0,7.0,1.0,1.0,0.0,83,3188,36660,2067.3,1579.6999999999998,73.60000000000036,7567,305.7999999999997,12112,8,2.994202898550725,-20
1,32,24,56,63415,109453,9,598,1.0,3.0,9.0,3.0,1.0,1.0,240,3045,57099,1924.6000000000001,1497.4,-79.59999999999991,6013,148.4000000000001,-2283,8,1.6041666666666665,86
1,33,24,30,60891,83497,9,690,1.0,3.0,9.0,1.0,1.0,1.0,191,3120,52021,2320.5,1305.1,-33.80000000000018,9193,-30.799999999999955,7337,9,0.7462121212121211,25
1,15,9,17,29885,29968,2,391,0.0,1.0,2.0,0.0,1.0,0.0,59,2380,19049,0.0,0.0,-1.7999999999997272,4561,-1250.4,1271,6,2.022222222222222,-1
