win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,30,28,33,64400,98302,9,697,0.0,3.0,9.0,1.0,1.0,0.0,148,4952,36494,1967.6999999999998,1344.3000000000002,52.80000000000018,3434,292.8000000000002,7933,2,0.21666666666666679,6
1,32,16,37,49900,76901,6,463,1.0,1.0,6.0,1.0,1.0,1.0,110,2949,36250,2186.7,1410.3000000000002,161.79999999999995,10486,223.30000000000018,20630,16,3.375,31
1,29,32,37,59117,96418,10,502,2.0,4.0,10.0,4.0,1.0,1.0,131,2263,44037,1975.7,1360.4,-121.0,5014,-72.39999999999986,123,-3,-1.0375,37
1,32,18,36,57523,82368,9,619,0.0,3.0,11.0,1.0,0.0,0.0,131,4943,13669,2037.4,1381.6,-76.59999999999991,9024,261.0999999999999,6139,14,2.3402777777777777,35
1,27,8,28,42845,58597,9,432,0.0,3.0,9.0,1.0,1.0,0.0,86,1974,29392,2184.5,1361.0,-16.700000000000045,14128,424.5,31730,19,6.097222222222222,35
1,29,20,49,55765,84735,7,525,1.0,1.0,8.0,1.0,0.0,1.0,126,3713,26584,1614.0,1143.5,44.65000000000009,7382,-127.79999999999995,16375,9,2.279310344827586,1
1,32,12,56,57296,75446,10,591,1.0,4.0,11.0,2.0,1.0,1.0,122,4601,64881,2033.4999999999998,1115.0,211.80000000000007,13032,-72.89999999999986,19731,20,6.364583333333333,49
1,28,25,64,49005,70659,6,381,1.0,2.0,6.0,1.0,0.0,1.0,83,3587,27706,1888.6,1175.8,-110.60000000000014,3719,-292.5,3632,3,1.822857142857143,-8
1,34,15,34,51405,68113,10,439,0.0,3.0,10.0,2.0,1.0,0.0,92,5029,36342,2000.6,1457.8999999999999,134.4000000000001,12819,347.39999999999986,8963,19,3.768627450980392,7
1,41,28,71,67507,96456,11,504,1.0,1.0,11.0,3.0,1.0,1.0,152,3487,53088,1965.4,1429.8999999999999,103.39999999999986,12492,331.0999999999999,-12288,13,1.8536585365853657,25
1,29,10,31,43538,45579,7,445,0.0,3.0,7.0,1.0,1.0,0.0,69,2775,29786,0.0,0.0,246.80000000000007,16554,-987.3,17318,20,5.137931034482759,12
1,24,13,29,42219,53728,8,405,0.0,1.0,9.0,1.0,1.0,0.0,89,4253,8957,2070.8,1219.5,170.39999999999986,10185,211.89999999999998,15802,12,2.8685897435897436,45
1,44,22,70,56261,110037,8,514,0.0,2.0,10.0,3.0,0.0,0.0,92,3320,14823,2175.7,1438.4,224.20000000000005,10632,411.5,29718,22,3.727272727272727,5
1,45,19,75,68217,110142,9,533,2.0,4.0,9.0,2.0,1.0,1.0,141,3296,86057,1825.6,1282.0,181.80000000000007,14995,87.5,15814,26,5.071345029239766,-24
1,37,17,56,53781,70484,7,427,0.0,2.0,8.0,1.0,0.0,0.0,77,2819,30453,2420.1000000000004,1331.2,44.0,13379,-114.09999999999991,20172,21,4.5516693163751984,-8
1,46,34,101,73388,119726,5,658,2.0,4.0,5.0,1.0,0.0,1.0,149,3575,46720,1761.5000000000002,1146.1,20.59999999999991,5889,-130.5999999999999,18228,12,2.301790281329923,-24
1,46,24,47,58993,104612,9,460,1.0,4.0,11.0,3.0,1.0,1.0,106,3616,62267,2247.7000000000003,1442.6,-19.59999999999991,13289,351.0,30730,22,2.5271739130434785,31
1,27,10,39,48011,60859,10,517,0.0,1.0,11.0,3.0,1.0,0.0,64,2911,7387,2260.8,1405.6,144.4000000000001,15799,226.39999999999986,16038,17,5.8962962962962955,9
1,48,47,71,70840,138802,7,552,1.0,2.0,7.0,1.0,0.0,1.0,113,2489,43362,1915.9,1277.8,195.19999999999993,391,-134.60000000000014,-14111,2,0.03191489361702127,-51
1,43,28,54,59164,84725,11,425,1.0,4.0,11.0,5.0,1.0,1.0,83,3907,48967,2057.0,1296.1999999999998,-70.0,5151,7.0,3148,15,1.8363787375415284,29
1,41,35,72,63893,116772,8,582,1.0,1.0,8.0,1.0,0.0,1.0,106,2656,36284,1923.1,1170.1,28.59999999999991,5070,-166.20000000000005,17329,6,1.3749128919860627,-6
1,42,22,70,67764,96724,9,667,1.0,2.0,11.0,2.0,1.0,1.0,109,4283,49466,1854.8000000000002,1294.5,185.0,12346,79.60000000000014,-8052,20,4.067099567099567,-32
1,36,39,68,66597,109239,7,614,2.0,3.0,7.0,1.0,0.0,1.0,101,2852,53631,1755.8,1172.3000000000002,-20.0,-1331,-107.89999999999986,-7386,-3,0.1944444444444442,16
1,25,15,34,40538,46301,4,407,0.0,2.0,4.0,0.0,1.0,0.0,50,2597,24923,2168.9,1416.4,121.0,10050,277.8000000000002,6109,11,2.8948717948717944,-9
1,15,4,15,37765,35677,6,456,0.0,3.0,6.0,0.0,1.0,0.0,89,2262,27284,2106.9,1253.1,32.600000000000136,10841,149.0999999999999,12962,11,6.966666666666667,28
1,33,18,54,60818,83081,10,587,1.0,2.0,10.0,2.0,1.0,1.0,106,4246,39183,1897.6,1403.4,171.80000000000018,11736,329.9000000000001,-11721,15,3.439393939393939,-25
1,27,9,36,50058,59296,9,441,1.0,2.0,9.0,3.0,1.0,1.0,110,2670,56702,2112.2,1275.7,66.59999999999991,15824,122.5,21105,18,6.074074074074074,38
1,32,14,59,59251,85364,9,543,1.0,5.0,10.0,1.0,0.0,1.0,114,4868,55025,1589.0,1190.7,95.0,13447,136.9000000000001,-9482,18,5.378787878787879,-21
1,36,24,59,61844,96707,8,630,1.0,3.0,11.0,3.0,1.0,1.0,144,4227,50402,1929.2999999999997,1372.3000000000002,81.60000000000014,10292,127.5,15151,12,2.4583333333333335,89
1,34,39,86,74468,148364,9,722,1.0,2.0,9.0,2.0,0.0,0.0,133,3898,49295,1533.7,1054.7,83.0,950,-107.79999999999995,707,-5,0.3340659340659342,-42
