win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
0,34,39,35,46737,70900,3,307,0.0,2.0,3.0,0.0,0.0,0.0,63,3611,21294,1264.0,1264.0,-332.20000000000005,-6618,-110.59999999999991,-16171,-5,-0.5450549450549453,-5
0,28,30,33,60966,90369,5,656,2.0,2.0,5.0,0.0,0.0,1.0,142,3271,57863,1051.5,1051.5,-52.80000000000018,-3434,-292.8000000000002,-7933,-2,-0.21666666666666679,-6
0,16,32,14,39414,56271,2,475,0.0,2.0,2.0,0.0,0.0,0.0,79,2433,16427,1187.0,1187.0,-161.79999999999995,-10486,-223.30000000000018,-20630,-16,-3.375,-31
0,32,30,61,54103,96295,3,540,0.0,0.0,3.0,0.0,0.0,0.0,94,3342,31642,1432.8,1432.8,121.0,-5014,72.39999999999986,-123,3,1.0375,-37
0,18,32,28,48499,76229,2,592,0.0,1.0,2.0,0.0,1.0,0.0,96,3118,27802,1120.5,1120.5,76.59999999999991,-9024,-261.0999999999999,-6139,-14,-2.3402777777777777,-35
0,8,27,13,28717,26867,0,295,0.0,0.0,0.0,0.0,0.0,0.0,51,3082,1210,936.5,936.5,16.700000000000045,-14128,-424.5,-31730,-19,-6.097222222222222,-35
0,20,29,27,48383,68360,4,523,0.0,3.0,4.0,0.0,1.0,0.0,125,4106,51405,1271.3,1271.3,-44.65000000000009,-7382,127.79999999999995,-16375,-9,-2.279310344827586,-1
0,12,32,19,44264,55715,1,568,0.0,0.0,1.0,0.0,0.0,0.0,73,4343,10745,1187.8999999999999,1187.8999999999999,-211.80000000000007,-13032,72.89999999999986,-19731,-20,-6.364583333333333,-49
0,25,28,27,45286,67027,4,430,0.0,1.0,4.0,0.0,1.0,0.0,91,3547,19404,1468.3,1468.3,110.60000000000014,-3719,292.5,-3632,-3,-1.822857142857143,8
0,15,34,11,38586,59150,1,437,0.0,0.0,1.0,0.0,0.0,0.0,85,2719,11030,1110.5,1110.5,-134.4000000000001,-12819,-347.39999999999986,-8963,-19,-3.768627450980392,-7
0,28,41,60,55015,108744,4,506,0.0,4.0,4.0,0.0,0.0,0.0,127,2201,28017,1098.8,1098.8,-103.39999999999986,-12492,-331.0999999999999,12288,-13,-1.8536585365853657,-25
0,9,29,16,26984,28261,0,308,0.0,0.0,0.0,0.0,0.0,0.0,57,2001,1806,987.3,987.3,-246.80000000000007,-16554,987.3,-17318,-20,-5.137931034482759,-12
0,12,24,17,32034,37926,2,322,0.0,0.0,2.0,0.0,0.0,0.0,44,3331,12103,1007.6,1007.6,-170.39999999999986,-10185,-211.89999999999998,-15802,-12,-2.8685897435897436,-45
0,22,44,42,45629,80319,3,420,0.0,1.0,3.0,0.0,1.0,0.0,87,1893,25227,1026.9,1026.9,-224.20000000000005,-10632,-411.5,-29718,-22,-3.727272727272727,-5
0,19,45,37,53222,94328,2,568,0.0,1.0,3.0,0.0,0.0,0.0,165,3125,6199,1194.5,1194.5,-181.80000000000007,-14995,-87.5,-15814,-26,-5.071345029239766,24
0,16,37,18,40402,50312,3,438,0.0,2.0,3.0,0.0,1.0,0.0,85,2787,25531,1445.3,1445.3,-44.0,-13379,114.09999999999991,-20172,-21,-4.5516693163751984,8
0,34,46,59,67499,101498,9,537,0.0,2.0,9.0,3.0,1.0,0.0,173,3062,48103,1276.6999999999998,1276.6999999999998,-20.59999999999991,-5889,130.5999999999999,-18228,-12,-2.301790281329923,24
0,24,46,38,45704,73882,0,464,0.0,0.0,0.0,0.0,0.0,0.0,75,2699,5561,1091.6,1091.6,19.59999999999991,-13289,-351.0,-30730,-22,-2.5271739130434785,-31
0,10,27,9,32212,44821,0,374,0.0,0.0,0.0,0.0,0.0,0.0,55,2760,2801,1179.2,1179.2,-144.4000000000001,-15799,-226.39999999999986,-16038,-17,-5.8962962962962955,-9
0,46,48,74,70449,152913,5,563,1.0,3.0,5.0,0.0,1.0,0.0,164,2676,40632,1412.4,1412.4,-195.19999999999993,-391,134.60000000000014,14111,-2,-0.03191489361702127,51
0,28,43,42,54013,81577,2,570,0.0,0.0,2.0,0.0,0.0,0.0,54,2163,4164,1289.1999999999998,1289.1999999999998,70.0,-5151,-7.0,-3148,-15,-1.8363787375415284,-29
0,35,41,41,58823,99443,8,573,0.0,3.0,8.0,1.0,1.0,0.0,112,3045,41114,1336.3,1336.3,-28.59999999999991,-5070,166.20000000000005,-17329,-6,-1.3749128919860627,6
0,22,42,21,55418,104776,5,606,0.0,3.0,5.0,0.0,0.0,0.0,141,3683,31002,1214.8999999999999,1214.8999999999999,-185.0,-12346,-79.60000000000014,8052,-20,-4.067099567099567,32
0,39,36,50,67928,116625,7,588,0.0,2.0,7.0,1.0,1.0,0.0,85,3440,33282,1280.2,1280.2,20.0,1331,107.89999999999986,7386,3,-0.1944444444444442,-16
0,14,26,13,30488,40192,0,321,0.0,1.0,0.0,0.0,0.0,0.0,59,2316,10936,1138.6,1138.6,-121.0,-10050,-277.8000000000002,-6109,-11,-2.8948717948717944,9
0,4,15,4,26924,22715,0,345,0.0,0.0,0.0,0.0,0.0,0.0,61,2593,5169,1104.0,1104.0,-32.600000000000136,-10841,-149.0999999999999,-12962,-11,-6.966666666666667,-28
0,18,33,28,49082,94802,3,535,0.0,2.0,3.0,0.0,0.0,0.0,131,2986,21503,1073.5,1073.5,-171.80000000000018,-11736,-329.9000000000001,11721,-15,-3.439393939393939,25
0,9,27,16,34234,38191,0,452,0.0,1.0,0.0,0.0,0.0,0.0,72,2559,9571,1153.2,1153.2,-66.59999999999991,-15824,-122.5,-21105,-18,-6.074074074074074,-38
0,14,33,23,45804,94846,1,529,0.0,0.0,2.0,0.0,1.0,0.0,135,3288,5972,1053.8,1053.8,-95.0,-13447,-136.9000000000001,9482,-18,-5.378787878787879,21
0,24,36,30,51552,81556,3,565,0.0,1.0,3.0,0.0,0.0,0.0,55,3018,3797,1244.8000000000002,1244.8000000000002,-81.60000000000014,-10292,-127.5,-15151,-12,-2.4583333333333335,-89
0,39,35,57,73518,147657,8,679,1.0,4.0,8.0,3.0,1.0,1.0,175,5632,57490,1162.5,1162.5,-83.0,-950,107.79999999999995,-707,5,-0.3340659340659342,42
0,16,33,30,44794,79689,0,464,0.0,0.0,0.0,0.0,0.0,0.0,77,3034,1485,1011.7,1011.7,-140.20000000000005,-13137,-291.5999999999999,-7639,-17,-2.981060606060606,-61
0,21,38,15,49454,90526,4,531,0.0,1.0,4.0,0.0,0.0,0.0,102,2388,29229,1339.5,1339.5,98.39999999999986,-8340,-57.30000000000018,7381,-17,-2.62406015037594,22
0,20,39,18,44161,66311,3,463,0.0,0.0,3.0,0.0,1.0,0.0,76,2056,13501,1250.4,1250.4,-252.79999999999995,-9597,-332.9999999999998,-8735,-19,-4.325641025641025,-20
0,6,11,4,20778,13568,0,167,0.0,0.0,0.0,0.0,0.0,0.0,22,2729,2471,962.1999999999999,962.1999999999999,-107.59999999999991,-11147,962.1999999999999,-14140,-5,-2.2575757575757573,-43
0,32,51,50,64229,126029,6,578,1.0,2.0,6.0,0.0,0.0,1.0,119,3137,53692,1166.4,1166.4,-96.0,-7551,-184.69999999999982,-28068,-19,-2.017156862745098,-26
0,42,64,36,82954,165829,7,901,0.0,3.0,9.0,2.0,1.0,0.0,210,3488,43357,1588.1,1588.1,-28.399999999999864,-5077,512.0999999999999,-4409,-22,-2.876488095238095,53
0,18,37,22,42588,49131,0,424,0.0,1.0,0.0,0.0,0.0,0.0,73,2852,10702,1149.3,1149.3,-108.60000000000014,-11649,-250.29999999999995,-26108,-19,-3.252252252252252,-28
0,24,40,24,55596,89146,7,623,0.0,3.0,7.0,0.0,1.0,0.0,119,2763,28816,1362.9,1362.9,-57.399999999999864,-10052,8.800000000000182,-8157,-16,-4.175,3
0,1,3,0,4533,1949,0,26,0.0,0.0,0.0,0.0,0.0,0.0,2,511,0,0.0,0.0,-144.4000000000001,-1265,0.0,-826,-2,-3.6666666666666665,2
0,29,40,34,59405,120508,6,611,0.0,1.0,6.0,0.0,1.0,0.0,136,2967,55764,1272.5,1272.5,-86.20000000000005,-6805,-121.20000000000005,-3806,-11,-2.0456896551724135,-30
0,34,40,51,64083,106261,4,682,0.0,2.0,4.0,0.0,1.0,0.0,160,3486,32391,1205.2000000000003,1205.2000000000003,0.3999999999998636,-3974,16.800000000000182,-26662,-6,-1.1691176470588234,18
0,11,29,15,33307,37114,3,350,0.0,1.0,3.0,0.0,1.0,0.0,72,2130,12787,1135.9,1135.9,-0.40000000000009095,-8365,-408.7999999999997,-18993,-18,-4.376175548589341,-14
0,11,40,14,45347,70322,3,534,0.0,0.0,3.0,0.0,0.0,0.0,94,3224,4122,1220.3999999999999,1220.3999999999999,-74.40000000000009,-13966,10.999999999999773,-11256,-29,-9.829545454545455,-53
0,43,39,65,67301,135610,5,602,0.0,4.0,5.0,1.0,0.0,0.0,174,2943,27534,1364.2,1364.2,68.80000000000018,-5586,232.79999999999995,-30798,4,0.1645796064400713,32
0,5,22,7,26532,24721,0,370,0.0,0.0,0.0,0.0,0.0,0.0,34,2857,787,1091.2,1091.2,-220.0999999999999,-11834,1091.2,-15565,-17,-7.854545454545455,-38
0,10,27,11,44447,45588,2,628,0.0,1.0,3.0,0.0,0.0,0.0,66,3109,26618,1254.5000000000002,1254.5000000000002,45.59999999999991,-10947,-15.499999999999773,-11224,-17,-5.222222222222222,-62
0,9,29,16,26984,28261,0,308,0.0,0.0,0.0,0.0,0.0,0.0,57,2001,1806,987.3,987.3,-246.80000000000007,-16554,987.3,-17318,-20,-5.137931034482759,-12
0,12,26,21,40731,37014,0,546,0.0,1.0,0.0,0.0,0.0,0.0,73,3161,9487,1126.3999999999999,1126.3999999999999,-157.79999999999995,-12102,-116.50000000000023,-22266,-14,-4.314102564102564,-26
0,34,47,40,65283,97421,6,642,0.0,2.0,6.0,0.0,0.0,0.0,131,3639,29220,1251.2,1251.2,86.59999999999991,-9740,-91.29999999999995,-44383,-13,-2.013767209011264,13
0,29,40,38,48252,78733,1,473,0.0,0.0,2.0,0.0,0.0,0.0,95,2091,12940,1334.9,1334.9,-167.5999999999999,-11631,-265.1999999999998,-8070,-11,-1.1870689655172415,-29
0,20,35,30,56575,92796,3,638,0.0,2.0,4.0,0.0,1.0,0.0,105,3680,23778,1022.3000000000001,1022.3000000000001,51.200000000000045,-8324,-119.49999999999989,-21822,-15,-3.171428571428571,-46
0,21,36,25,51383,88366,4,541,0.0,1.0,4.0,0.0,1.0,0.0,87,3582,25848,1203.0,1203.0,56.0,-10893,-171.30000000000018,-12493,-15,-3.150793650793651,-60
0,14,26,20,37486,51815,1,432,0.0,0.0,1.0,0.0,0.0,0.0,90,3238,3271,1028.1,1028.1,-9.0,-11093,-342.5999999999999,-13226,-12,-4.620879120879121,-4
0,25,34,25,50284,78591,5,544,0.0,0.0,5.0,0.0,1.0,0.0,112,3906,17113,1404.1000000000001,1404.1000000000001,83.40000000000009,-5453,210.29999999999995,-17269,-9,-1.5694117647058823,0
0,15,35,18,42006,60875,2,476,0.0,2.0,2.0,0.0,0.0,0.0,64,2606,12968,1367.2,1367.2,-105.20000000000005,-9202,51.200000000000045,-17212,-20,-5.123809523809523,-33
0,17,40,28,46604,80172,2,520,0.0,0.0,3.0,0.0,0.0,0.0,124,2984,13459,1129.4,1129.4,1.400000000000091,-13668,-147.70000000000005,-23881,-23,-4.992647058823529,1
0,22,37,33,42437,55311,1,406,0.0,2.0,1.0,0.0,0.0,0.0,79,2866,12225,1103.8,1103.8,-193.20000000000005,-11991,-126.0,-26447,-15,-2.383078730904818,11
0,46,44,70,70068,151159,6,575,0.0,1.0,6.0,2.0,1.0,0.0,120,2650,15536,1280.3000000000002,1280.3000000000002,23.799999999999955,-3708,12.5,8966,2,0.20158102766798391,5
0,11,36,15,34779,45505,0,388,0.0,0.0,0.0,0.0,0.0,0.0,78,2515,15621,1002.1000000000001,1002.1000000000001,-100.40000000000009,-16449,-399.89999999999986,-38142,-24,-6.861111111111111,-6
0,30,36,45,63008,93508,3,738,0.0,1.0,4.0,0.0,1.0,0.0,97,2868,17299,1293.8,1293.8,150.9000000000001,-4459,-40.59999999999991,-25148,-6,-1.2833333333333332,-112
0,9,21,4,21879,24765,0,250,0.0,0.0,0.0,0.0,0.0,0.0,21,2192,3690,1149.0,1149.0,-22.40000000000009,-9521,1149.0,-8423,-12,-4.158730158730158,-31
0,7,21,4,22309,18123,0,233,0.0,0.0,0.0,0.0,0.0,0.0,24,2160,1411,1068.6000000000001,1068.6000000000001,-212.19999999999982,-11544,1068.6000000000001,-19966,-14,-4.351190476190476,-31
0,22,40,21,52725,80778,5,557,0.0,2.0,5.0,0.0,1.0,0.0,117,2604,17406,1368.3,1368.3,-39.299999999999955,-5246,80.20000000000005,-14919,-17,-3.1068181818181815,-60
0,23,24,59,52294,87860,0,529,0.0,2.0,0.0,0.0,0.0,0.0,139,4061,20979,1035.4,1035.4,-122.0,-6238,-235.0999999999999,-28733,-1,0.5471014492753623,-15
0,27,37,44,68694,134464,5,826,0.0,0.0,5.0,1.0,1.0,0.0,144,4696,16099,1337.0,1337.0,61.59999999999991,-11032,128.4000000000001,-21435,-10,-1.5625625625625625,-6
0,10,23,7,28578,24553,0,340,0.0,0.0,0.0,0.0,0.0,0.0,36,2171,4175,1260.4,1260.4,-92.79999999999995,-8086,1260.4,-13074,-13,-3.7608695652173916,-35
0,34,42,51,71554,121935,5,729,1.0,3.0,6.0,0.0,1.0,1.0,176,3581,68476,1228.1,1228.1,22.40000000000009,-3141,-69.30000000000018,-5117,-8,-0.7761904761904761,33
0,31,37,56,68901,108287,4,753,0.0,3.0,5.0,0.0,1.0,0.0,165,3392,24636,1269.8000000000002,1269.8000000000002,73.79999999999995,-1784,0.6000000000001364,-35077,-6,-0.5518744551002617,-17
0,31,38,35,54141,86939,5,505,0.0,0.0,6.0,0.0,0.0,0.0,101,3522,21993,1383.1000000000001,1383.1000000000001,161.4000000000001,-6386,-1.199999999999818,-12295,-7,-1.731907894736842,0
0,28,38,42,60696,99242,4,642,0.0,2.0,4.0,0.0,1.0,0.0,194,3540,21612,1216.2,1216.2,-136.20000000000005,-7498,-13.899999999999864,4688,-10,-1.5150375939849625,46
0,37,54,56,72989,133067,4,673,1.0,2.0,4.0,0.0,0.0,1.0,166,2743,26895,1144.6,1144.6,-59.0,-9382,-199.0,-19583,-17,-2.3858858858858856,-69
0,9,35,10,42134,54188,5,544,0.0,0.0,5.0,0.0,1.0,0.0,131,2803,19786,1244.0,1244.0,68.79999999999995,-12948,33.799999999999955,-28672,-26,-7.012698412698413,-12
0,26,38,40,65125,116710,7,713,0.0,3.0,7.0,0.0,1.0,0.0,154,3515,31639,1262.4,1262.4,-198.19999999999993,-8948,176.20000000000005,9547,-12,-2.186234817813765,-53
0,10,22,18,38831,50003,2,498,0.0,0.0,2.0,0.0,0.0,0.0,126,4531,8046,1033.2,1033.2,-67.40000000000009,-11460,-284.10000000000014,-18347,-12,-5.127272727272728,4
0,39,35,57,73518,147657,8,679,1.0,4.0,8.0,3.0,1.0,1.0,175,5632,57490,1162.5,1162.5,-83.0,-950,107.79999999999995,-707,5,-0.3340659340659342,42
0,23,48,38,54124,121073,3,512,1.0,2.0,4.0,1.0,0.0,1.0,145,2122,38370,1160.5,1160.5,-39.40000000000009,-9225,-300.20000000000005,13689,-25,-4.424818840579711,17
0,14,31,15,47298,77446,3,637,0.0,1.0,3.0,0.0,0.0,0.0,111,3237,17477,1174.8,1174.8,106.19999999999982,-9601,-154.70000000000005,-5226,-17,-5.778801843317972,-38
0,10,34,17,39995,52105,1,490,0.0,0.0,1.0,0.0,0.0,0.0,64,2882,5807,1084.6999999999998,1084.6999999999998,-16.40000000000009,-16931,-256.9000000000001,-33222,-24,-7.705882352941177,-60
0,20,36,39,56699,85829,3,710,0.0,3.0,3.0,0.0,1.0,0.0,153,2660,41639,1257.5,1257.5,-174.39999999999986,-9553,-56.700000000000045,-30216,-16,-2.711111111111111,-7
0,25,36,18,48915,78938,5,530,0.0,2.0,5.0,0.0,1.0,0.0,96,2592,23927,1383.0,1383.0,24.0,-11246,-2.099999999999909,-5257,-11,-1.8055555555555556,5
0,34,44,51,66727,137800,5,697,0.0,2.0,6.0,1.0,0.0,0.0,129,2818,22621,1196.3999999999999,1196.3999999999999,-4.2000000000000455,-4872,-261.10000000000014,-8683,-10,-0.8917112299465242,-62
0,39,52,60,74162,113119,3,797,1.0,1.0,3.0,0.0,0.0,1.0,126,3050,29506,1196.6,1196.6,-3.400000000000091,-5945,-117.90000000000009,-58586,-13,-1.8653846153846154,-74
0,0,1,0,4058,724,0,18,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,-166.60000000000014,-311,0.0,-847,0,0.0,0
0,17,36,14,45232,57220,1,541,0.0,1.0,2.0,0.0,1.0,0.0,78,3354,15093,1221.2,1221.2,-244.4000000000001,-13181,-24.0,-16956,-18,-4.256535947712418,-29
0,42,51,44,66784,137015,3,659,1.0,3.0,3.0,0.0,0.0,1.0,120,2768,39812,1195.8,1195.8,-20.200000000000045,-1551,-48.90000000000009,-1375,-8,-0.5864527629233514,-17
0,30,38,53,62337,144714,2,714,0.0,1.0,2.0,0.0,0.0,0.0,123,3602,22797,1123.7,1123.7,-46.0,-9624,-276.20000000000005,-21848,-8,-0.9157894736842107,-24
0,18,39,17,62789,114752,3,824,1.0,1.0,4.0,0.0,0.0,1.0,113,3989,15655,1167.7,1167.7,-84.59999999999991,-10312,-86.89999999999986,2113,-21,-4.713675213675213,-102
0,33,34,54,59657,92322,1,619,0.0,2.0,1.0,0.0,0.0,0.0,144,3668,32320,1309.5,1309.5,-19.799999999999955,-8227,172.29999999999995,-56716,-1,-0.7139037433155084,-37
0,1,2,0,4396,1531,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,316,691,0.0,0.0,111.59999999999991,-466,0.0,-844,-1,-1.5,-2
0,42,49,58,70624,110500,6,643,0.0,3.0,7.0,1.0,1.0,0.0,121,3050,53036,1345.8000000000002,1345.8000000000002,15.799999999999955,-4715,109.70000000000027,-34142,-7,-1.054421768707483,28
0,23,35,51,44620,63688,3,388,0.0,3.0,3.0,0.0,1.0,0.0,123,2608,30218,1277.8,1277.8,-269.1999999999998,-5194,8.299999999999955,-12939,-12,-2.1900621118012418,27
0,30,32,33,50012,84151,3,502,0.0,0.0,3.0,0.0,0.0,0.0,103,4101,20167,1165.5,1165.5,-12.0,-9479,-75.40000000000009,-14943,-2,-0.7409274193548385,-17
0,8,26,7,27881,28186,1,383,0.0,0.0,1.0,0.0,0.0,0.0,51,2188,7987,1180.6999999999998,1180.6999999999998,-132.79999999999995,-13412,-228.8000000000004,-10166,-18,-5.798076923076923,-36
0,30,39,29,46243,57816,1,395,0.0,0.0,1.0,0.0,0.0,0.0,89,2130,17938,1288.4,1288.4,-22.200000000000045,-10959,-402.0999999999999,-23976,-9,-1.3205128205128207,15
0,24,28,32,53975,81310,4,564,0.0,2.0,4.0,0.0,1.0,0.0,110,3789,17593,1150.1,1150.1,-142.80000000000018,-4566,-23.40000000000009,12580,-4,-1.04,-8
0,7,18,9,30387,30345,2,375,0.0,0.0,2.0,0.0,0.0,0.0,64,2433,8743,1016.0999999999999,1016.0999999999999,3.2000000000000455,-7700,-100.10000000000036,-15779,-11,-5.968253968253968,1
0,19,46,21,43040,54717,0,409,0.0,2.0,0.0,0.0,0.0,0.0,90,1653,15656,1366.5,1366.5,6.9500000000000455,-12563,-152.80000000000018,-33663,-27,-4.919908466819222,1
0,30,41,37,57475,81342,8,522,0.0,3.0,9.0,2.0,1.0,0.0,110,3434,38370,1372.3,1372.3,1.0,-1621,185.4000000000001,-9400,-11,-2.5325203252032527,44
0,40,48,68,66086,136207,2,671,0.0,2.0,3.0,0.0,0.0,0.0,150,2724,16576,1297.1999999999998,1297.1999999999998,141.0,-8207,138.49999999999977,-6550,-8,-1.0,-30
0,8,27,8,35001,51387,2,417,0.0,0.0,2.0,0.0,0.0,0.0,42,2654,8091,1068.3000000000002,1068.3000000000002,-75.20000000000005,-13682,-389.5999999999999,-19190,-19,-7.782407407407407,-47
0,2,19,1,18083,12922,0,240,0.0,0.0,0.0,0.0,0.0,0.0,32,1697,2018,986.9000000000001,986.9000000000001,-253.20000000000005,-12770,986.9000000000001,-14471,-17,-16.842105263157894,-18
0,28,40,31,48989,77003,1,553,0.0,2.0,1.0,0.0,0.0,0.0,106,2604,12310,1245.8,1245.8,-111.25,-14053,-50.59999999999991,-21805,-12,-1.6678571428571427,-14
0,17,30,15,40945,49052,2,441,0.0,1.0,2.0,0.0,0.0,0.0,79,3544,24620,1272.5,1272.5,-29.40000000000009,-12305,22.899999999999864,-24530,-13,-3.1686274509803924,-28
0,35,38,47,61534,111191,3,637,0.0,1.0,3.0,0.0,0.0,0.0,121,3076,12018,1458.7,1458.7,-33.19999999999982,-6824,311.5,-35548,-3,-0.4421052631578948,-27
0,0,1,0,4519,1500,0,43,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,-118.54999999999995,-559,0.0,-1,0,0.0,-1
0,6,23,4,33709,42833,1,477,0.0,0.0,1.0,0.0,0.0,0.0,70,3631,4494,1101.6,1101.6,-147.4000000000001,-10479,-25.5,-8064,-17,-7.731884057971014,-29
0,19,37,28,44338,63079,3,503,0.0,2.0,3.0,0.0,1.0,0.0,98,1925,18237,1469.5,1469.5,108.40000000000009,-10451,-59.600000000000136,-13496,-18,-3.5192034139402564,52
0,26,43,30,53212,87663,3,535,0.0,2.0,4.0,0.0,0.0,0.0,118,2496,18759,1199.6000000000001,1199.6000000000001,135.79999999999995,-10149,-152.79999999999973,-25535,-17,-2.2361359570661894,22
0,19,34,29,45406,66316,1,482,0.0,1.0,2.0,0.0,0.0,0.0,95,3288,39115,1086.8,1086.8,-111.29999999999995,-15496,-93.5,-18607,-15,-2.640866873065015,-56
0,0,1,0,4421,725,0,35,0.0,0.0,0.0,0.0,0.0,0.0,1,0,248,0.0,0.0,-13.199999999999818,-298,0.0,-519,0,0.0,0
